arch,test_num,cost,stages
Intel_Baseline,6,197,4
Intel_Baseline,7,464,4
Intel_Baseline,8,924,5
Intel_Baseline,9,1839,6
Intel_Baseline,10,3650,7
Intel_Baseline,11,2,0
Intel_Baseline,12,7,0
Intel_Baseline,13,17,1
Intel_Baseline,14,38,2
Intel_Baseline,15,82,3
Intel_Baseline,16,172,4
Intel_Baseline,17,441,4
Intel_Baseline,18,852,5
Intel_Baseline,19,1656,6
Intel_Baseline,20,3235,7
Intel_Baseline,21,6386,8
Intel_Baseline,22,0,0
Intel_Baseline,23,0,0
Intel_Baseline,24,4,0
Intel_Baseline,25,7,0
Intel_Baseline,26,16,0
Intel_Baseline,27,19,1
Intel_Baseline,28,27,1
Intel_Baseline,29,41,1
Intel_Baseline,30,56,1
Intel_Baseline,31,73,1
Intel_Baseline,32,96,1
Intel_Baseline,33,89,2
Intel_Baseline,34,104,2
Intel_Baseline,35,129,2
Intel_Baseline,36,153,2
Intel_Baseline,37,162,2
Intel_Baseline,38,2,0
Intel_Baseline,39,5,0
Intel_Baseline,40,12,1
Intel_Baseline,41,21,1
Intel_Baseline,42,34,1
Intel_Baseline,43,55,1
Intel_Baseline,44,64,2
Intel_Baseline,45,87,2
Intel_Baseline,46,113,2
Intel_Baseline,47,143,2
Intel_Baseline,48,180,2
Intel_Baseline,49,223,2
Intel_Baseline,50,276,2
Intel_Baseline,51,267,3
Intel_Baseline,52,315,3
Intel_Baseline,53,284,4
Intel_Baseline,54,569,5
Intel_Baseline,55,1139,6
Intel_Baseline,56,2269,7
Intel_Baseline,57,4511,8
I_LUXOR,0,1,0
I_LUXOR,1,2,0
I_LUXOR,2,6,0
I_LUXOR,3,15,1
I_LUXOR,4,34,2
I_LUXOR,5,75,3
I_LUXOR,6,157,4
I_LUXOR,7,331,4
I_LUXOR,8,664,5
I_LUXOR,9,1345,6
I_LUXOR,10,2708,7
I_LUXOR,11,2,0
I_LUXOR,12,5,0
I_LUXOR,13,14,1
I_LUXOR,14,32,2
I_LUXOR,15,73,3
I_LUXOR,16,156,4
I_LUXOR,17,327,4
I_LUXOR,18,664,5
I_LUXOR,19,1344,6
I_LUXOR,20,2706,7
I_LUXOR,21,5435,8
I_LUXOR,22,0,0
I_LUXOR,23,0,0
I_LUXOR,24,4,0
I_LUXOR,25,7,0
I_LUXOR,26,12,0
I_LUXOR,27,18,1
I_LUXOR,28,26,1
I_LUXOR,29,34,1
I_LUXOR,30,46,1
I_LUXOR,31,58,1
I_LUXOR,32,69,1
I_LUXOR,33,83,2
I_LUXOR,34,100,2
